"id","port","protocol","official"
105,"515/TCP",Line Printer Daemon protocol?- 用于 LPD 打印机服务器,官方
106,"517/UDP",Talk,官方
107,"518/UDP",NTalk,官方
108,"520/TCP",efs,官方
109,"520/UDP",Routing -?路由信息协议,官方
110,"513/UDP",路由器,官方
111,"524/TCP,UDP",NetWare核心协议（NetWare 核心协议）用于一系列功能，例如访问NetWare主服务器资源、同步时间等,官方
112,"525/UDP",Timed，时间服务,官方
113,"530/TCP,UDP",远程过程调用,官方
114,"531/TCP,UDP","AOL 即时通信软件, IRC",非官方
115,"532/TCP",netnews,官方
116,"533/UDP",netwall，用于紧急广播,官方
117,"540/TCP",UUCP（Unix-to-Unix 复制协议）,官方
118,"542/TCP,UDP",商业（Commerce Applications）,官方
119,"543/TCP",klogin，Kerberos登陆,官方
120,"544/TCP",kshell，Kerberos 远程shell,官方
121,"546/TCP,UDP",DHCPv6客户端,官方
122,"547/TCP,UDP",DHCPv6服务器,官方
123,"548/TCP",通过传输控制协议（TCP）的 Appletalk 文件编制协议（AFP(苹果归档协议)),官方
124,"550/UDP",new-rwho，new-who,官方
125,"554/TCP,UDP",即时流协议,官方
126,"556/TCP",Brunhoff 的远程文件系统（RFS）,官方
127,"560/UDP","rmonitor, Remote Monitor",官方
128,"561/UDP",monitor,官方
129,"563/TCP,UDP",通过TLS的网络新闻传输协议（NNTPS）,官方
130,"587/TCP",邮件消息提交（简单邮件传输协议，RFC 2476）,官方
131,"591/TCP",FileMaker?6.0（及之后版本）网络共享（HTTP的替代，见80端口）,官方
132,"593/TCP,UDP","HTTP RPC Ep Map（RPC over HTTP, often used by?Distributed COM?services and?Microsoft Exchange Server）",官方
133,"604/TCP",TUNNEL,官方
134,"631/TCP,UDP",互联网打印协议,""
135,"636/TCP,UDP",LDAP?over?TLS（加密传输，也被称为LDAPS）,官方
136,"639/TCP,UDP",MSDP，组播源发现协议,官方
137,"646/TCP,UDP",LDP，标签分发协议,官方
138,"647/TCP",DHCP故障转移协议,官方
139,"648/TCP",RRP（Registry Registrar Protocol），注册表注册协议,官方
140,"652/TCP",DTCP（Dynamic Tunnel Configuration Protocol），动态主机设置协议,官方
141,"654/UDP",AODV（Ad hoc On-Demand Distance Vector），无线自组网按需平面距离向量路由协议,官方
142,"665/TCP","sun-dr, Remote Dynamic Reconfiguration",非官方
143,"666/UDP",毁灭战士，电脑平台上的一系列第一人称射击游戏。,官方
144,"674/TCP",ACAP（Application Configuration Access Protocol），应用配置访问协议,官方
145,"691/TCP",MS Exchange Routing,官方
146,"692/TCP",Hyperwave-ISP,""
147,"694/UDP",用于带有高可用性的聚类的心跳服务,非官方
148,"695/TCP",IEEE-MMS-SSL,""
149,"698/UDP",OLSR（Optimized Link State Routing），优化链路状态路由协议,""
150,"699/TCP",Access Network,""
151,"700/TCP","EPP, 可扩展供应协议",""
152,"701/TCP","LMP,链路管理协议",""
153,"702/TCP",IRIS over BEEP,""
154,"706/TCP",SILC，Secure Internet Live Conferencing,""
155,"711/TCP",TDP，标签分发协议,""
156,"712/TCP",TBRPF，Topology Broadcast based on Reverse-Path Forwarding,""
157,"720/TCP",SMQP，Simple Message Queue Protocol,""
158,"749/TCP,UDP",kerberos-adm，Kerberos administration,""
159,"750/UDP",Kerberos version IV,""
160,"782/TCP",Conserver?serial-console management server,""
161,"829/TCP",证书管理协议（CMP）[2],""
162,"860/TCP",ISCSI，Internet小型计算机系统接口,""
163,"873/TCP",Rsync，文件同步协议,官方
164,"901/TCP",Samba?网络管理工具（SWAT）,非官方
165,"902",VMware服务器控制台[3],非官方
166,"904",VMware服务器替代（如果902端口已被占用）,非官方
167,"911/TCP",Network Console on Acid（NCA） - local?tty?redirection over?OpenSSH,""
168,"981/TCP",Check Point?Remote HTTPS management for firewall devices running embedded?Checkpoint Firewall-1?software,非官方
169,"989/TCP,UDP",FTP Protocol (data) over TLS/SSL,官方
170,"990/TCP,UDP",FTP Protocol (control) over TLS/SSL,官方
171,"991/TCP,UDP",NAS (Netnews Admin System),""
172,"992/TCP,UDP",基于TLS/SSL的Telnet协议,官方
173,"993/TCP",基于?传输层安全性协议的因特网信息访问协议?(加密传输),官方
174,"995/TCP",基于?传输层安全性协议的邮局协议?(加密传输),官方
175,"","",""
176,"1025/tcp",NFS-or-IIS,非官方
177,"1026/tcp",通常用于微软Distributed COM服务器,非官方
178,"1029/tcp",通常用于微软Distributed COM服务器,非官方
179,"1058/tcp",nim?IBM AIX,官方
180,"1059/tcp",nimreg,官方
181,"1080/tcp",SOCKS代理,官方
182,"1099/tcp,udp",Java远程方法调用?Registry,官方
183,"1109/tcp",Kerberos POP,""
184,"1140/tcp",AutoNOC,官方
185,"1167/udp","phone, conference calling",""
186,"1176/tcp",Perceptive Automation Indigo home control server,官方
187,"1182/tcp,udp",AcceleNet,官方
188,"1194/udp",OpenVPN,官方
189,"1198/tcp,udp",The?cajo project?Free dynamic transparent distributed computing in Java,官方
190,"1200/udp",Steam,官方
191,"1214/tcp",Kazaa,官方
192,"1223/tcp,udp",TGP: TrulyGlobal Protocol,官方
193,"1241/tcp,udp",Nessus?Security Scanner,官方
194,"1248/tcp",NSClient/NSClient++/NC_Net (Nagios),非官方
195,"1270/tcp,udp",Microsoft Operations Manager 2005 agent (MOM 2005),官方
196,"1311/tcp",Dell Open Manage Https Port,非官方
197,"1313/tcp",Xbiim (Canvii server) Port,非官方
198,"1337/tcp",WASTE?Encrypted File Sharing Program,非官方
199,"1352/tcp",IBM?IBM Lotus Notes/Domino RPC,官方
200,"1387/tcp,udp",Computer Aided Design Software Inc LM (cadsi-lm ),官方
201,"1414/tcp",IBM?MQSeries,官方
202,"1431/tcp",RGTP,官方
203,"1433/tcp,udp",Microsoft SQL?数据库系统,官方
204,"1434/tcp,udp",Microsoft SQL 活动监视器,官方
205,"1494/tcp",思杰系统?ICA Client,官方
206,"1512/tcp,udp",WINS,""
207,"1521/tcp",nCube?License Manager,官方
208,"1521/tcp","Oracle数据库?default listener, in future releases official port 2483",非官方
209,"1524/tcp,udp","ingreslock, ingres",官方
210,"1526/tcp",Oracle数据库?common alternative for listener,非官方
211,"1533/tcp",IBM?Lotus Sametime?IM - Virtual Places Chat,官方
212,"1547/tcp,udp",Laplink,官方
213,"1550",Gadu-Gadu?(Direct Client-to-Client),非官方
214,"1581/udp",MIL STD 2045-47001 VMF,官方
215,"1589/udp",Cisco?VQP?(VLAN Query Protocol) /?VMPS,非官方
216,"1627",iSketch,非官方
217,"1677/tcp",Novell GroupWise clients in client/server access mode,""
218,"1701/udp","第二层隧道协议, Layer 2 Tunnelling protocol",""
219,"1716/tcp",美国陆军系列?MMORPG Default Game Port,官方
220,"1723/tcp,udp",Microsoft?点对点隧道协议?VPN,官方
221,"1725/udp",Valve Steam Client,非官方
222,"1755/tcp,udp","MMS (协议)?(MMS, ms-streaming)",官方
223,"1761/tcp,udp",cft-0,官方
224,"1761/tcp",Novell?Zenworks Remote Control utility,非官方
225,"1762-1768/tcp,udp",cft-1 to cft-7,官方
226,"1812/udp","radius,?远端用户拨入验证服务?authentication protocol",""
227,"1813/udp","radacct,?远端用户拨入验证服务?accounting protocol",""
228,"1863/tcp","Windows Live Messenger, MSN",官方
229,"1883/tcp",Message Queuing Telemetry Transport (MQTT),官方
230,"1900/udp",Microsoft?简单服务发现协议?Enables discovery of?UPnP?devices,官方
231,"1935/tcp",实时消息协议?(RTMP) raw protocol,官方
232,"1970/tcp,udp",Danware Data?NetOp Remote Control,官方
233,"1971/tcp,udp",Danware Data?NetOp School,官方
234,"1972/tcp,udp",InterSystems Caché,官方
235,"1975-77/udp",Cisco?TCO?(Documentation),官方
236,"1984/tcp",Big Brother - network monitoring tool,官方
237,"1985/udp",热备份路由器协议,官方
238,"1994/TCP",STUN-SDLC protocol for tunneling,""
239,"1998/tcp",Cisco X.25 service (XOT),""
240,"2000/tcp,udp",Cisco SCCP (Skinny),官方
241,"2002/tcp",Cisco Secure Access Control Server (ACS) for Windows,非官方
242,"2030",甲骨文公司?Services for?Microsoft Transaction Server,非官方
243,"2031/tcp,udp",mobrien-chat?- Mike O'Brien <mike@mobrien.com> November 2004,官方
244,"2049/udp","nfs,?NFS?Server",官方
245,"2049/udp",shilp,官方
246,"2053/tcp","knetd,?Kerberos?de-multiplexor",""
247,"2056/udp",文明IV?multiplayer,非官方
248,"2073/tcp,udp",DataReel Database,官方
249,"2074/tcp,udp",Vertel VMF SA (i.e. App.. SpeakFreely),官方
250,"2082/tcp",Infowave Mobility Server,官方
251,"2082/tcp","CPanel, default port",非官方
252,"2083/tcp",Secure Radius Service (radsec),官方
253,"2083/tcp",CPanel?default SSL port,非官方
254,"2086/tcp",GNUnet,官方
255,"2086/tcp",CPanel?default port,非官方
256,"2087/tcp",CPanel?default SSL port,非官方
257,"2095/tcp",CPanel?default webmail port,非官方
258,"2096/tcp",CPanel?default SSL webmail port,非官方
259,"2161/tcp",问号-APC Agent,官方
260,"2181/tcp,udp",EForward-document transport system,官方
261,"2200/tcp",Tuxanci game server,非官方
262,"2219/tcp,udp",NetIQ NCAP Protocol,官方
263,"2220/tcp,udp",NetIQ End2End,官方
264,"2222/tcp",DirectAdmin's default port,非官方
265,"2222/udp",Microsoft Office OS X antipiracy network monitor?[1],非官方
266,"2301/tcp",HP System Management Redirect to port 2381,非官方
267,"2302/udp",武装突袭?multiplayer (default for game),非官方
268,"2302/udp",最后一战：战斗进化?multiplayer,非官方
269,"2303/udp",武装突袭?multiplayer (default for server reporting) (游戏内定端口 +1),非官方
270,"2305/udp",武装突袭?multiplayer (default for VoN) (游戏内定端口 +3),非官方
271,"2369/tcp",Default port for?BMC软件公司?CONTROL-M/Server - Configuration Agent port number - though often changed during installation,非官方
272,"2370/tcp",Default port for?BMC软件公司?CONTROL-M/Server - Port utilized to allow the CONTROL-M/Enterprise Manager to connect to the CONTROL-M/Server - though often changed during installation,非官方
273,"2381/tcp",HP Insight Manager default port for webserver,非官方
274,"2404/tcp",IEC 60870-5-104,官方
275,"2427/udp",Cisco?MGCP,官方
276,"2447/tcp,udp",ovwdb -?OpenView?Network Node Manager?(NNM) daemon,官方
277,"2483/tcp,udp","Oracle数据库?listening port for unsecure client connections to the listener, replaces port 1521",官方
278,"2484/tcp,udp",Oracle数据库?listening port for SSL client connections to the listener,官方
279,"2546/tcp,udp",Vytal Vault - Data Protection Services,非官方
280,"2593/tcp,udp",RunUO -?网络创世纪?server,非官方
281,"2598/tcp","new ICA - when Session Reliability is enabled, TCP port 2598 replaces port 1494",非官方
282,"2612/tcp,udp",QPasa from MQSoftware,官方
283,"2710/tcp",XBT Bittorrent Tracker,非官方
284,"2710/udp",XBT Bittorrent Tracker experimental UDP tracker extension,非官方
285,"2710/tcp",Knuddels.de,非官方
286,"2735/tcp,udp",NetIQ Monitor Console,官方
287,"2809/tcp","corbaloc:iiop URL, per the?CORBA?3.0.3 specification.Also used by IBM?IBM WebSphere Application Server?Node Agent",官方
289,"2809/udp","corbaloc:iiop URL, per the?CORBA?3.0.3 specification.",官方
290,"2944/udp",Megaco?Text H.248,非官方
291,"2945/udp",Megaco?Binary (ASN.1) H.248,非官方
292,"2948/tcp,udp",无线应用协议-push?彩信?(MMS),官方
293,"2949/tcp,udp",无线应用协议-pushsecure?彩信?(MMS),官方
294,"2967/tcp",Symantec AntiVirus Corporate Edition,非官方
295,"3000/tcp",Miralix License server,非官方
296,"3000/udp","Distributed Interactive Simulation?(DIS), modifiable default port",非官方
297,"3000/tcp",Puma Web Server,非官方
298,"3001/tcp",Miralix Phone Monitor,非官方
299,"3002/tcp",Miralix CSTA,非官方
300,"3003/tcp",Miralix GreenBox API,非官方
301,"3004/tcp",Miralix InfoLink,非官方
302,"3006/tcp",Miralix SMS Client Connector,非官方
303,"3007/tcp",Miralix OM Server,非官方
304,"3025/tcp",netpd.org,非官方
305,"3050/tcp,udp",gds_db (Interbase/Firebird),官方
306,"3074/tcp,udp",Xbox Live,官方
307,"3128/tcp",超文本传输协议?used by?Web缓存s and the default port for the?Squid (软件),官方
308,"3260/tcp",ISCSI?target,官方
309,"3268/tcp","msft-gc, Microsoft Global Catalog (轻型目录访问协议?service which contains data from?Active Directory?forests)",官方
310,"3269/tcp","msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268,?轻型目录访问协议?over?传输层安全性协议?version)",官方
311,"3300/tcp",TripleA?game server,非官方
312,"3305/tcp,udp",ODETTE-FTP,官方
313,"3306/tcp,udp",MySQL数据库系统,官方
314,"3333/tcp",Network Caller ID server,非官方
315,"3386/tcp,udp",GTP'?3GPP?GSM/通用移动通讯系统?CDR?logging protocol,官方
316,"3389/tcp",远程桌面协议（RDP）,官方
317,"3396/tcp",Novell?NDPS Printer Agent,官方
318,"3689/tcp",DAAP?Digital Audio Access Protocol used by?苹果公司?ITunes,官方
319,"3690/tcp",Subversion?version control system,官方
320,"3702/tcp,udp","Web Services Dynamic Discovery?(WS-Discovery), used by various components of?Windows Vista",官方
321,"3724/tcp",魔兽世界?Online gaming MMORPG,官方
322,"3784/tcp,udp",Ventrilo?VoIP program used by?Ventrilo,官方
323,"3785/udp",Ventrilo?VoIP program used by?Ventrilo,官方
324,"3868 tcp,udp",Diameter base protocol,官方
325,"3872/tcp",Oracle Management Remote Agent,非官方
326,"3899/tcp",Remote Administrator,非官方
327,"3900/tcp",Unidata UDT OS?udt_os,官方
328,"3945/tcp","Emcads server service port, a Giritech product used by?G/On",官方
329,"4000/tcp",暗黑破坏神II?game,非官方
330,"",NoMachine Network Server (nxd),""
331,"4007/tcp",PrintBuzzer printer monitoring socket server,非官方
332,"4089/tcp,udp",OpenCORE Remote Control Service,官方
333,"4093/tcp,udp",PxPlus Client server interface?ProvideX,官方
334,"4096/udp",Bridge-Relay Element?ASCOM,官方
335,"4100",WatchGuard Authentication Applet - default port,非官方
336,"4111/tcp,udp",Xgrid,官方
337,"4111/tcp",SharePoint?- 默认管理端口,非官方
338,"4226/tcp,udp",Aleph One (computer game),非官方
339,"4224/tcp",思科系统?CDP Cisco discovery Protocol,非官方
340,"4569/udp",Inter-Asterisk eXchange,非官方
341,"4662/tcp",OrbitNet Message Service,官方
342,"4662/tcp",通常用于EMule,非官方
343,"4664/tcp",Google桌面搜索,非官方
344,"4672/udp",EMule?- 常用端口,非官方
345,"4894/tcp",LysKOM?Protocol A,官方
346,"4899/tcp",Radmin?远程控制工具,官方
347,"5000/tcp",commplex-main,官方
348,"5000/tcp",UPnP?- Windows network device interoperability,非官方
349,"5000/tcp,udp",VTun?-?虚拟专用网?软件,非官方
350,"5001/tcp,udp",Iperf (Tool for measuring TCP and UDP bandwidth performance),非官方
351,"5001/tcp",Slingbox及Slingplayer,非官方
352,"5003/tcp",FileMaker?Filemaker Pro,官方
353,"5004/udp",实时传输协议实时传输协议,官方
354,"5005/udp",实时传输协议实时传输协议,官方
355,"5031/tcp,udp",AVM CAPI-over-TCP (综合业务数字网?over?以太网?tunneling),非官方
356,"5050/tcp",Yahoo! Messenger,官方
357,"5051/tcp",ita-agent?Symantec Intruder Alert,官方
358,"5060/tcp,udp",会话发起协议?(SIP),官方
359,"5061/tcp",会话发起协议?(SIP) over?传输层安全性协议?(TLS),官方
360,"5093/udp",SPSS License Administrator?(SPSS),官方
361,"5104/tcp",IBM NetCOOL / IMPACT HTTP Service,非官方
362,"5106/tcp",A-Talk?Common connection,非官方
363,"5107/tcp",A-Talk?远程服务器连接,非官方
364,"5110/tcp",ProRat Server,非官方
365,"5121/tcp",无冬之夜,官方
366,"5176/tcp",ConsoleWorks default UI interface,非官方
367,"5190/tcp",ICQ?and?AIM (应用程序),官方
368,"5222/tcp",XMPP/Jabber?- client connection,官方
369,"5223/tcp",XMPP/Jabber?- default port for SSL Client Connection,非官方
370,"5269/tcp",XMPP/Jabber?- server connection,官方
371,"5351/tcp,udp",NAT端口映射协议，允许客户端在网络地址转换网关上配置传入映射,官方
372,"5353/udp",mDNS?- 多播DNS,""
373,"5402/tcp,udp",StarBurst AutoCast MFTP,官方
374,"5405/tcp,udp",NetSupport,官方
375,"5421/tcp,udp",Net Support 2,官方
376,"5432/tcp",PostgreSQL数据库管理系统,官方
377,"5445/udp",思科系统?Vidéo VT Advantage,非官方
378,"5495/tcp",Applix?TM1 Admin server,非官方
379,"5498/tcp",Hotline?tracker server connection,非官方
380,"5499/udp",Hotline?tracker server discovery,非官方
381,"5500/tcp","VNC?remote desktop protocol - for incoming listening viewer,?Hotline?control connection",非官方
382,"5501/tcp",Hotline?file transfer connection,非官方
383,"5517/tcp",Setiqueue?Proxy server client for?SETI@home?project,非官方
384,"5555/tcp","Freeciv?multiplay port for versions up to 2.0,?惠普?Data Protector,?会话通告协议",非官方
385,"5556/tcp",Freeciv?multiplay port,官方
386,"5631/tcp",赛门铁克?pcAnywhere,官方
387,"5632/udp",赛门铁克?pcAnywhere,官方
388,"5666/tcp",NRPE (Nagios),非官方
389,"5667/tcp",NSCA (Nagios),非官方
390,"5800/tcp",VNC?remote desktop protocol - for use over?超文本传输协议,非官方
391,"5814/tcp,udp",惠普?Support Automation (HP OpenView Self-Healing Services),官方
392,"5900/tcp",VNC?remote desktop protocol (used by?ARD),官方
393,"6000/tcp",X窗口系统?- used between an X client and server over the network,官方
394,"6001/udp",X窗口系统?- used between an X client and server over the network,官方
395,"6005/tcp",Default port for?BMC软件公司?CONTROL-M/Server - Socket Port number used for communication between CONTROL-M processes - though often changed during installation,非官方
396,"6050/tcp",Brightstor Arcserve Backup,非官方
397,"6051/tcp",Brightstor Arcserve Backup,非官方
398,"6100/tcp",Vizrt System,非官方
399,"6110/tcp,udp",softcm?HP SoftBench?CM,官方
400,"6111/tcp,udp",spc?HP SoftBench?Sub-Process Control,官方
401,"6112/tcp",dtspcd - a network daemon that accepts requests from clients to execute commands and launch applications remotely,官方
402,"6112/tcp","暴雪娱乐's?暴雪战网?gaming service,?ArenaNet?gaming service",官方
403,"6129/tcp",Dameware Remote Control,非官方
404,"6257/udp",WinMX?（参见6699端口）,非官方
405,"6346/tcp,udp","gnutella-svc?(FrostWire,?LimeWire,?Bearshare, etc.)",官方
406,"6347/tcp,udp",gnutella-rtr,官方
407,"6379/tcp",Redis?- Redis,非官方
408,"6444/tcp,udp",Oracle Grid Engine?- Qmaster Service,官方
409,"6445/tcp,udp",Oracle Grid Engine?- Execution Service,官方
410,"6502/tcp,udp",Danware Data NetOp Remote Control,非官方
411,"6522/tcp",Gobby?(and other libobby-based software),非官方
412,"6543/udp",Jetnet?- default port that the?Paradigm Research & Development?Jetnet?protocol communicates on,非官方
413,"6566/tcp",SANE?(Scanner Access Now Easy) - SANE network scanner daemon,非官方
414,"6600/tcp",Music Playing Daemon (MPD),非官方
415,"6619/tcp,udp",ODETTE-FTP over TLS/SSL,官方
416,"6665-6669/tcp",IRC,官方
417,"6679/tcp",IRC?SSL （安全互联网中继聊天） - 通常使用的端口,非官方
418,"6697/tcp",IRC?SSL （安全互联网中继聊天） - 通常使用的端口,非官方
419,"6699/tcp",WinMX?（参见6257端口）,非官方
420,"6881-6999/tcp,udp",BitTorrent?通常使用的端口,非官方
421,"6891-6900/tcp,udp",Windows Live Messenger?（文件传输）,官方
422,"6901/tcp,udp",Windows Live Messenger?（语音）,官方
423,"6969/tcp",acmsoda,官方
424,"6969/tcp",BitTorrent?tracker port,非官方
425,"7000/tcp",Default port for?Azureus's built in?超文本传输安全协议?BitTorrent tracker,非官方
426,"7001/tcp",Default port for?BEA?WebLogic Server's?超文本传输协议?server - though often changed during installation,非官方
427,"7002/tcp",Default port for?BEA?WebLogic Server's?超文本传输安全协议?server - though often changed during installation,非官方
428,"7005/tcp,udp",Default port for?BMC软件公司?CONTROL-M/Server and CONTROL-M/Agent's - Agent to Server port though often changed during installation,非官方
429,"7006/tcp,udp",Default port for?BMC软件公司?CONTROL-M/Server and CONTROL-M/Agent's - Server to Agent port though often changed during installation,非官方
430,"7010/tcp",Default port for Cisco AON AMC (AON Management Console)?[4],非官方
431,"7025/tcp",Zimbra - lmtp [mailbox] - local mail delivery,非官方
432,"7047/tcp",Zimbra - conversion server,非官方
433,"7171/tcp",Tibia,""
434,"7306/tcp",Zimbra - mysql [mailbox],非官方
435,"7307/tcp",Zimbra - mysql [logger] - logger,非官方
436,"7312/udp",Sibelius?License Server port,非官方
437,"7670/tcp",BrettSpielWelt?BSW Boardgame Portal,非官方
438,"7680/tcp",适用于Windows 10更新的传递优化,官方
439,"7777/tcp",Default port used by Windows backdoor program tini.exe,非官方
440,"8000/tcp",iRDMI?- often mistakenly used instead of port 8080 (The Internet Assigned Numbers Authority (iana.org) officially lists this port for iRDMI protocol),官方
441,"8000/tcp",Common port used for internet radio streams such as those using?SHOUTcast,非官方
442,"8002/tcp",Cisco Systems Unified Call Manager Intercluster Port,""
443,"8008/tcp",超文本传输协议?替代端口,官方
444,"8008/tcp",IBM HTTP Server?默认管理端口,非官方
445,"8009/tcp",阿帕契族?JServ?协议 v13 (ajp13) 例如：Apache mod_jk?Tomcat会使用。,非官方
446,"8010/tcp",XMPP/Jabber?文件传输,非官方
447,"8074/tcp",Gadu-Gadu,非官方
448,"8080/tcp","超文本传输协议?替代端口 （http_alt） - commonly used for?代理服务器?and?caching?server, or for running a web server as a non-Root?user",官方
449,"8080/tcp",Apache Tomcat,非官方
